fonte,nome_original,chave_origem,chave_dimensao,id_escola_provisorio,nome_canonico,metodo_correspondencia
Contexto CAEd,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,ESC_051,EMEF VILA MONTE CRISTO,exata_normalizada
CAEd,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,ESC_052,EMEF WENCESLAU FONTOURA,exata_normalizada
Contexto CAEd,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,ESC_052,EMEF WENCESLAU FONTOURA,exata_normalizada
CAEd,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ESC_053,EMEM EMILIO MEYER,exata_normalizada
Contexto CAEd,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ESC_053,EMEM EMILIO MEYER,exata_normalizada
CAEd,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,validada_manualmente
CAEd,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada
Contexto CAEd,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada
CAEd,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada
CAEd,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada
Contexto CAEd,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada
CAEd,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,ESC_056,EEF ALDEIA LUMIAR,nova_escola
