id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,interpretacao_cautelosa,resultados_educacionais_no_indice,nota_uso
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,clarissa,TRUE,465,21,21,4,69.71153846153845,1,32.11538461538461,1,0,1,27.884615384615383,11.240384615384613,0,39.125,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,priscila,TRUE,54,4,4,1,0.5288461538461539,1,33.26923076923077,1,80,1,0.21153846153846156,11.644230769230768,20,31.85576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,jalize,TRUE,100,5,5,1,5.192307692307692,1,37.40384615384615,1,80,1,2.0769230769230766,13.091346153846153,20,35.168269230769226,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,amanda,TRUE,255,13,13,4,35.09615384615385,1,16.25,1,0,1,14.03846153846154,5.6875,0,19.72596153846154,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,clarissa,TRUE,585,24,24,4,95.76923076923077,1,61.82692307692307,1,0,1,38.307692307692314,21.639423076923073,0,59.94711538461539,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,andreia,TRUE,470,20,20,4,68.70192307692308,1,64.42307692307692,1,0,1,27.480769230769234,22.54807692307692,0,50.02884615384615,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,jalize,TRUE,501,19,19,3,68.50961538461537,1,55.86538461538461,1,0,1,27.40384615384615,19.552884615384613,0,46.95673076923076,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,clarissa,TRUE,379,16,16,4,52.54807692307692,1,38.55769230769231,1,0,1,21.01923076923077,13.495192307692307,0,34.51442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,eliane,TRUE,417,20,20,3,55.43269230769231,1,35.86538461538461,1,0,1,22.173076923076923,12.552884615384613,0,34.72596153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,julia,TRUE,70,4,4,2,2.9807692307692304,1,39.03846153846153,1,55,1,1.1923076923076923,13.663461538461537,13.75,28.60576923076923,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,jalize,TRUE,477,21,21,4,73.75,1,52.69230769230769,1,0,1,29.5,18.44230769230769,0,47.94230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
