id_escola,codigo_inep,nome_canonico,assessora_gerencial,indice_equilibrado,faixa_equilibrado,indice_operacional,faixa_operacional,diferenca_operacional_equilibrado,indice_desafio_educacional,faixa_desafio_educacional,diferenca_desafio_equilibrado,indice_transicao_administrativa,faixa_transicao_administrativa,diferenca_transicao_equilibrado,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,50.17513093901983,Faixa 4 — maior carga potencial relativa,39.5321922933034,Faixa 2 — intermediária inferior,-10.642938645716427,56.077684249906476,Faixa 4 — maior carga potencial relativa,5.9025533108866455,55.0231949120838,Faixa 4 — maior carga potencial relativa,4.848063973063972,1,Sensibilidade moderada
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,49.761574074074076,Faixa 4 — maior carga potencial relativa,58.914478114478115,Faixa 4 — maior carga potencial relativa,9.152904040404039,54.444612794612794,Faixa 4 — maior carga potencial relativa,4.683038720538718,42.70951178451179,Faixa 3 — intermediária superior,-7.052062289562286,1,Sensibilidade moderada
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,49.3912037037037,Faixa 4 — maior carga potencial relativa,59.41388888888889,Faixa 4 — maior carga potencial relativa,10.022685185185189,53.21035353535354,Faixa 4 — maior carga potencial relativa,3.8191498316498382,42.1979797979798,Faixa 3 — intermediária superior,-7.1932239057239045,1,Sensibilidade moderada
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,48.763468013468014,Faixa 4 — maior carga potencial relativa,56.673063973063975,Faixa 4 — maior carga potencial relativa,7.909595959595961,55.067003367003366,Faixa 4 — maior carga potencial relativa,6.303535353535352,42.363299663299664,Faixa 3 — intermediária superior,-6.40016835016835,1,Sensibilidade moderada
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,46.91940235690235,Faixa 3 — intermediária superior,54.62752525252525,Faixa 4 — maior carga potencial relativa,7.7081228956229,51.03038720538721,Faixa 3 — intermediária superior,4.110984848484854,40.04065656565657,Faixa 3 — intermediária superior,-6.878745791245784,1,Sensibilidade moderada
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,46.45075757575758,Faixa 3 — intermediária superior,53.94267676767677,Faixa 4 — maior carga potencial relativa,7.4919191919191945,51.94234006734007,Faixa 3 — intermediária superior,5.491582491582491,40.1564393939394,Faixa 3 — intermediária superior,-6.294318181818177,1,Sensibilidade moderada
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,44.39667508417509,Faixa 3 — intermediária superior,47.61877104377105,Faixa 3 — intermediária superior,3.2220959595959613,52.89368686868687,Faixa 4 — maior carga potencial relativa,8.497011784511784,39.10648148148148,Faixa 3 — intermediária superior,-5.290193602693606,1,Sensibilidade moderada
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,41.28303872053872,Faixa 3 — intermediária superior,52.74309764309764,Faixa 3 — intermediária superior,11.460058922558922,42.13080808080808,Faixa 2 — intermediária inferior,0.8477693602693606,34.77685185185185,Faixa 3 — intermediária superior,-6.506186868686868,1,Sensibilidade moderada
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,37.341329966329965,Faixa 2 — intermediária inferior,45.39739057239058,Faixa 3 — intermediária superior,8.056060606060612,38.522306397306394,Faixa 2 — intermediária inferior,1.180976430976429,31.322937710437714,Faixa 2 — intermediária inferior,-6.018392255892252,1,Sensibilidade moderada
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,36.43560606060606,Faixa 2 — intermediária inferior,35.85622895622896,Faixa 2 — intermediária inferior,-0.5793771043771017,45.0983164983165,Faixa 3 — intermediária superior,8.662710437710437,32.324579124579124,Faixa 2 — intermediária inferior,-4.1110269360269385,1,Sensibilidade moderada
