variavel_contexto,variavel_resultado,ano_escolar,numero_observacoes,correlacao
pct_matriculas_preta_parda_indigena,delta_pct_defasagem,5,52,-0.09722226439282414
pct_matriculas_preta_parda_indigena,delta_proficiencia,1,54,0.05701582915768463
pct_matriculas_preta_parda_indigena,delta_proficiencia,2,53,0.06075432371073164
pct_matriculas_preta_parda_indigena,delta_proficiencia,3,53,0.04166438379545094
pct_matriculas_preta_parda_indigena,delta_proficiencia,4,53,0.08109867451004421
pct_matriculas_preta_parda_indigena,delta_proficiencia,5,52,-0.019376855129808912
pct_matriculas_preta_parda_indigena,pct_adequado_2025,1,54,-0.2798116687053834
pct_matriculas_preta_parda_indigena,pct_adequado_2025,2,53,-0.2931080409618825
pct_matriculas_preta_parda_indigena,pct_adequado_2025,3,53,-0.4341231089052193
pct_matriculas_preta_parda_indigena,pct_adequado_2025,4,53,-0.6244489921183439
pct_matriculas_preta_parda_indigena,pct_adequado_2025,5,52,-0.41968773572400486
pct_matriculas_preta_parda_indigena,proficiencia_media_2025,1,54,-0.2805448134427629
pct_matriculas_preta_parda_indigena,proficiencia_media_2025,2,53,-0.24840672905786043
pct_matriculas_preta_parda_indigena,proficiencia_media_2025,3,53,-0.41469760489253893
pct_matriculas_preta_parda_indigena,proficiencia_media_2025,4,53,-0.5880477227765877
pct_matriculas_preta_parda_indigena,proficiencia_media_2025,5,52,-0.4792752479357933
pct_matriculas_preta_parda_indigena,taxa_participacao_2025,1,54,-0.47554262869822017
pct_matriculas_preta_parda_indigena,taxa_participacao_2025,2,53,0.17343139953677303
pct_matriculas_preta_parda_indigena,taxa_participacao_2025,3,53,-0.3014206214873787
pct_matriculas_preta_parda_indigena,taxa_participacao_2025,4,53,-0.3478783631691334
pct_matriculas_preta_parda_indigena,taxa_participacao_2025,5,52,-0.09102549604972175
pct_matriculas_transporte_publico,delta_participacao,1,54,-0.013665918694322538
pct_matriculas_transporte_publico,delta_participacao,2,53,-0.12175979990686993
pct_matriculas_transporte_publico,delta_participacao,3,53,-0.08983161765835164
pct_matriculas_transporte_publico,delta_participacao,4,53,-0.22234378737901225
pct_matriculas_transporte_publico,delta_participacao,5,52,-0.34318990723348536
pct_matriculas_transporte_publico,delta_pct_adequado,1,54,-0.10490816984565302
pct_matriculas_transporte_publico,delta_pct_adequado,2,53,-0.02136485959717539
pct_matriculas_transporte_publico,delta_pct_adequado,3,53,-0.01126783070109996
