Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000290;22;23;20;87;33;55%;35%;10%;80;63;68;15;35;66;63;35;83;19;45;56;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000291;23;23;19;83;95;0%;11%;89%;94;94;100;83;81;81;100;83;94;94;86;61;61
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000292;24;22;16;73;24;63%;31%;6%;77;75;55;19;31;69;81;19;94;27;30;47;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000323;21;23;21;91;44;45%;35%;20%;75;75;80;30;53;80;75;68;82;30;33;50;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000324;22;26;22;85;43;55%;20%;25%;61;78;83;35;35;71;95;50;79;39;55;75;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000325;23;24;23;96;70;20%;20%;60%;78;80;94;53;80;88;90;61;100;53;63;84;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000326;24;24;22;92;46;45%;25%;30%;80;74;46;48;53;85;83;64;100;44;50;56;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000327;25;22;20;91;79;16%;0%;84%;81;82;84;71;89;82;94;79;94;89;74;83;5
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000364;21;27;22;81;41;55%;20%;25%;93;83;42;30;30;78;84;48;88;43;43;60;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000365;22;26;23;88;56;30%;26%;43%;89;72;68;39;52;85;91;57;95;48;70;59;34
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000366;23;27;22;81;39;52%;19%;29%;76;60;59;33;63;67;79;31;79;33;39;65;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000367;24;28;23;82;52;25%;45%;30%;68;78;53;53;48;82;75;53;89;45;63;55;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000368;25;24;22;92;67;20%;25%;55%;76;83;87;71;74;84;84;44;100;58;71;80;64
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF ESPIRITO SANTO; 21912411500001803;21;16;11;69;49;36%;36%;27%;95;73;45;45;36;73;82;55;100;45;59;67;25
