Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001326;51;22;18;82;45;31%;63%;6%;50;66;70;41;41;34;63;41;63;50;59;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001327;52;18;16;89;43;27%;73%;0%;47;63;70;33;27;27;73;57;60;40;61;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001329;54;23;21;91;50;40%;25%;35%;43;61;73;43;45;38;63;45;63;37;63;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001357;51;21;17;81;68;14%;43%;43%;64;71;86;39;57;43;89;68;75;36;61;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001358;52;23;22;96;64;14%;43%;43%;60;64;83;43;52;40;86;57;71;48;69;70
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001359;53;21;18;86;70;13%;31%;56%;66;81;84;59;63;53;72;59;72;44;81;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001360;54;19;16;84;76;14%;29%;57%;61;75;82;43;82;57;82;61;71;50;100;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001392;51;27;24;89;25;61%;26%;13%;37;30;54;24;37;24;41;30;43;43;48;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001393;52;29;28;97;67;18%;29%;54%;50;79;82;48;57;54;80;59;73;46;77;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001394;53;26;22;85;62;27%;27%;45%;64;70;82;50;59;32;70;39;70;50;73;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001425;51;19;19;100;61;24%;35%;41%;68;76;79;44;71;41;65;53;65;47;68;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001426;52;23;19;83;61;18%;47%;35%;65;74;74;38;62;38;68;50;74;41;71;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001427;53;24;22;92;68;26%;11%;63%;68;68;87;50;68;37;71;63;82;53;58;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ; 21912411500001445;51;20;19;95;73;16%;26%;58%;76;82;84;50;76;47;74;55;76;58;76;63
