Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000361;14;24;17;71;37;44%;38%;19%;63;77;33;31;81;50;56;38;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000362;15;23;17;74;16;76%;24%;0%;47;77;29;7;60;34;24;40;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000363;16;18;13;72;34;55%;27%;18%;61;50;43;32;100;91;42;40;70
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF ESPIRITO SANTO; 21912411500001802;11;18;15;83;41;53%;20%;27%;76;73;44;57;70;67;58;33;49
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001807;11;24;17;71;6;94%;6%;0%;52;27;21;12;18;53;29;10;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000400;11;21;15;71;38;47%;33%;20%;45;60;39;42;73;81;59;58;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000401;12;17;14;82;28;62%;31%;8%;56;64;58;23;67;64;39;29;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000402;13;19;14;74;52;36%;43%;21%;62;82;55;43;89;86;57;61;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000419;11;22;20;91;31;50%;40%;10%;45;75;35;30;53;68;56;33;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000420;12;27;18;67;39;39%;39%;22%;52;67;52;36;78;75;65;69;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000421;13;17;13;76;46;18%;73%;9%;67;65;63;56;100;80;70;39;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000422;14;21;19;90;28;59%;24%;18%;60;62;45;21;76;50;50;25;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000423;15;27;17;63;33;63%;19%;19%;55;64;57;11;53;60;64;54;49
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000459;11;19;15;79;33;67%;17%;17%;75;71;42;25;71;46;50;50;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000460;12;21;19;90;24;65%;29%;6%;69;55;35;25;81;70;29;46;45
